"","ensembl_gene_id","external_gene_name","Gene_name_canonical","graph_localization_annotation","num_human","num"
"3791","ENSMUSG00000053907","Mat2a","MAT2A","cytosol",1,1
"3792","ENSMUSG00000053916","Nanp","NANP","cytosol",1,1
"3793","ENSMUSG00000054027","Nt5dc3","NT5DC3","mitochondrion",1,1
"3794","ENSMUSG00000054051","Ercc6","ERCC6","nucleus",1,1
"3795","ENSMUSG00000054079","Utp18","UTP18","nucleolus",1,1
"3796","ENSMUSG00000054150","Syne3","SYNE3","nucleus",1,1
"3797","ENSMUSG00000054277","Arfgap3","ARFGAP3","Golgi",1,1
"3798","ENSMUSG00000054309","Cpsf3","CPSF3","nucleus",1,1
"3799","ENSMUSG00000054405","Dnajc8","DNAJC8","unclassified",1,1
"3800","ENSMUSG00000054414","Slc30a7","SLC30A7","Golgi",1,1
"3801","ENSMUSG00000054455","Vapb","VAPB","ER",1,2
"3802","ENSMUSG00000054604","Cggbp1","CGGBP1","nucleolus",1,1
"3803","ENSMUSG00000054693","Adam10","ADAM10","plasma_membrane",1,1
"3804","ENSMUSG00000054702","Ap1s3","AP1S3","early_endosome",1,1
"3805","ENSMUSG00000054717","Hmgb2","HMGB2","nucleus",1,1
"3806","ENSMUSG00000054733","Msra","MSRA","cytosol",1,1
"3807","ENSMUSG00000054808","Actn4","ACTN4","actin_cytoskeleton",1,1
"3808","ENSMUSG00000054823","Nsd3","NSD3","nucleus",1,1
"3809","ENSMUSG00000055024","Ep300","EP300","nucleus",1,1
"3810","ENSMUSG00000055041","Commd5","COMMD5","early_endosome",1,1
"3811","ENSMUSG00000055065","Ddx17","DDX17","nucleus",1,2
"3812","ENSMUSG00000055067","Smyd3","SMYD3","unclassified",1,1
"3813","ENSMUSG00000055204","Ankrd17","ANKRD17","stress_granule",1,1
"3814","ENSMUSG00000055239","Kcmf1","KCMF1","cytosol",1,1
"3815","ENSMUSG00000055319","Sec23ip","SEC23IP","Golgi",1,2
"3816","ENSMUSG00000055371","Stam2","STAM2","early_endosome",1,1
"3817","ENSMUSG00000055436","Srsf11","SRSF11","nucleus",1,1
"3818","ENSMUSG00000055447","Cd47","CD47","plasma_membrane",1,2
"3819","ENSMUSG00000055485","Soga1","SOGA1","14-3-3_scaffold",1,1
"3820","ENSMUSG00000055531","Cpsf6","CPSF6","nucleus",1,2
"3821","ENSMUSG00000055652","Klhl25","KLHL25","cytosol",1,1
"3822","ENSMUSG00000055670","Zzef1","ZZEF1","cytosol",1,1
"3823","ENSMUSG00000055681","Cope","COPE","ERGIC",1,1
"3824","ENSMUSG00000055720","Ubl7","UBL7","cytosol",1,1
"3825","ENSMUSG00000055762","Eef1d","EEF1D","cytosol",1,2
"3826","ENSMUSG00000055762","Eef1d","EEF1D","nucleus",1,2
"3827","ENSMUSG00000055762","Eef1d","EEF1D","unclassified",1,4
"3828","ENSMUSG00000055817","Mta3","MTA3","nucleus",1,1
"3829","ENSMUSG00000055839","Elob","ELOB","unclassified",1,1
"3830","ENSMUSG00000055943","Emc7","EMC7","ER",1,1
"3831","ENSMUSG00000056050","Mia3","MIA3","ER",1,2
"3832","ENSMUSG00000056076","Eif3b","EIF3B","stress_granule",1,1
"3833","ENSMUSG00000056121","Fez2","FEZ2","cytosol",1,1
"3834","ENSMUSG00000056131","Pgm3","PGM3","cytosol",1,1
"3835","ENSMUSG00000056167","Cnot10","CNOT10","stress_granule",1,1
"3836","ENSMUSG00000056201","Cfl1","CFL1","actin_cytoskeleton",1,2
"3837","ENSMUSG00000056211","R3hdm1","R3HDM1","stress_granule",1,1
"3838","ENSMUSG00000056220","Pla2g4a","PLA2G4A","cytosol",1,1
"3839","ENSMUSG00000056234","Ncoa4","NCOA4","cytosol",1,1
"3840","ENSMUSG00000056305","Usp39","USP39","nucleus",1,1
"3841","ENSMUSG00000056310","Tyw1","TYW1","ER",1,1
"3842","ENSMUSG00000056342","Usp34","USP34","cytosol",1,1
"3843","ENSMUSG00000056394","Lig1","LIG1","cytosol",1,2
"3844","ENSMUSG00000056429","Tgoln1","TGOLN2","trans-Golgi",1,1
"3845","ENSMUSG00000056486","Chn1","CHN1","cytosol",1,1
"3846","ENSMUSG00000056493","Foxk1","FOXK1","14-3-3_scaffold",1,1
